Pt. #		Horz. Ang.			Vert. Ang.		Horz. Ang.	Vert. Ang.	Slope Dist.	Horz. Dist.	Vert. Dist.	X	Y	Z
	deg	min	sec	deg	min	sec	Decimal	Decimal					"Station at 0,0,0"	
1	324	55	8	90	2	50	324.9188889	90.04722222	73.186	73.18597514	-0.060318649	42.06257792	59.89095505	-0.060318649
2	40	48	54	85	54	56	40.815	85.91555556	87.14	86.91867812	6.19092547	56.81167882	65.78213857	6.19092547
3	42	10	42	86	31	36	42.17833333	86.52666667	83.169	83.01622716	5.029453439	55.74044899	61.51988556	5.029453439
4	45	6	20	86	34	46	45.10555556	86.57944444	85.083	84.93142351	5.067390952	60.16612345	59.94484372	5.067390952
5	50	37	10	86	12	42	50.61944444	86.21166667	97.635	97.4216619	6.436719828	75.30197003	61.81094982	6.436719828
6	52	36	550	86	55	54	52.75277778	86.93166667	94.005	93.87023504	5.024585117	74.72364965	56.81546629	5.024585117
7	53	15	42	87	2	0	53.26166667	87.03333333	91.773	91.65000707	4.743343211	73.44608197	54.82149979	4.743343211
8	52	6	12	86	1	33	52.10333333	86.02583333	109.567	109.3035352	7.575466042	86.25358618	67.1385261	7.575466042
9	52	4	36	86	21	33	52.07666667	86.35916667	114.791	114.5593203	7.274719989	90.36827032	70.4089027	7.274719989
10	61	7	4	87	6	18	61.11777778	87.105	117.682	117.5318105	5.936036374	102.9125502	56.76912445	5.936036374
11	65	54	0	87	22	6	65.9	87.36833333	125.569	125.4365681	5.759432545	114.5027864	51.2195716	5.759432545
12	73	32	30	87	55	6	73.54166667	87.91833333	129.305	129.2196675	4.693768056	123.9250238	36.61025727	4.693768056
13	75	25	8	88	8	24	75.41888889	88.14	108.005	107.9480942	3.503716901	104.4713256	27.17596691	3.503716901
14	75	25	30	88	16	16	75.425	88.27111111	106.011	105.9627412	3.1969197	102.552761	26.66521562	3.1969197
15	76	58	26	89	3	54	76.97388889	89.065	77.697	77.68665471	1.267698928	75.68757882	17.51018941	1.267698928
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
														
