Pt. #		Horz. Ang.			Vert. Ang.		Horz. Ang.	Vert. Ang.	Slope Dist.	Horz. Dist.	Vert. Dist.	X	Y	Z
	deg	min	sec	deg	min	sec	Decimal	Decimal					"Station at 0,0,0"	
1	93	43	54	89	14	33	93.73166667	89.2425	603.680	603.6272417	7.980244254	602.3474311	39.28637517	7.980244254
2	93	5	34	89	6	0	93.09277778	89.1	606.605	606.5301646	9.526961755	605.6467408	32.72408889	9.526961755
3	92	57	15	89	1	20	92.95416667	89.02222222	612.429	612.3398235	10.44934227	611.5260735	31.55821462	10.44934227
4	92	55	0	88	59	46	92.91666667	88.99611111	614.509	614.414678	10.76471103	613.618764	31.26354077	10.76471103
5	92	47	20	88	58	15	92.78888889	88.97083333	619.706	619.6060299	11.12897997	618.8721634	30.14759741	11.12897997
6	92	55	10	88	59	33	92.91944444	88.9925	624.984	624.8873788	10.98757353	624.0763562	31.82668407	10.98757353
7	92	56	48	89	0	0	92.94666667	89	627.150	627.054482	10.94360968	626.2254023	32.23459291	10.94360968
8	92	41	0	88	51	26	92.68333333	88.85722222	628.128	628.0030656	12.52483816	627.3144825	29.40051832	12.52483816
9	93	3	40	88	57	46	93.06111111	88.96277778	637.883	637.7784804	11.54503678	636.8684635	34.05804349	11.54503678
10	93	5	30	88	56	6	93.09166667	88.935	640.803	640.692303	11.90834678	639.7597915	34.55483031	11.90834678
11	93	8	10	88	56	30	93.13611111	88.94166667	644.564	644.4540429	11.9032923	643.488901	35.25688053	11.9032923
12	91	52	3	88	46	26	91.8675	88.77388889	650.030	649.8811663	13.90618489	649.5359896	21.17849182	13.90618489
13	94	19	41	89	11	23	94.32805556	89.18972222	649.666	649.6010356	9.186361426	647.7485682	49.0234422	9.186361426
14	95	55	54	89	25	18	95.93166667	89.42166667	622.497	622.4652886	6.282946412	619.132518	64.32698275	6.282946412
15	91	31	15	88	51	40	91.52083333	88.86111111	598.121	598.0028423	11.88593559	597.7921902	15.87125391	11.88593559
16	90	51	14	88	37	18	90.85388889	88.62166667	625.638	625.4569763	15.04482631	625.3875192	9.320948199	15.04482631
17	92	23	56	88	54	8	92.39888889	88.90222222	620.470	620.3561164	11.88519467	619.8124624	25.96579818	11.88519467
														
 														
